Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speczip_dcache_32	0.172418	1.724184	0.021384	0.000078	0.271750
speczip_dcache_64	0.169027	1.690265	0.017751	0.000078	0.329520
speczip_dcache_128	0.165372	1.653719	0.014056	0.000078	0.421660
speczip_icache_32	0.172442	1.724417	0.021385	0.000090	0.271747
speczip_icache_64	0.172418	1.724184	0.021384	0.000078	0.271750
speczip_icache_128	0.172434	1.724339	0.021384	0.000072	0.271759
speczip_l2_512kB	0.172418	1.724184	0.021384	0.000078	0.271750
speczip_l2_1MB	0.169776	1.697758	0.021389	0.000078	0.224491
speczip_l2_2MB	0.168158	1.681579	0.021390	0.000078	0.197663
speczip_l2_4MB	0.166388	1.663881	0.021391	0.000078	0.170603
speczip_assocl1i_1	0.172418	1.724184	0.021384	0.000078	0.271750
speczip_assocl1i_2	0.172425	1.724253	0.021385	0.000072	0.271753
speczip_assocl1i_4	0.172434	1.724339	0.021384	0.000070	0.271754
speczip_assocl1i_8	0.172434	1.724339	0.021384	0.000070	0.271754
speczip_assocl1d_1	0.172418	1.724184	0.021384	0.000078	0.271750
speczip_assocl1d_2	0.168503	1.685033	0.017819	0.000078	0.326979
speczip_assocl1d_4	0.167166	1.671656	0.016511	0.000079	0.354012
speczip_assocl1d_8	0.166448	1.664484	0.015826	0.000078	0.370206
speczip_assocl2_1	0.174180	1.741803	0.021353	0.000078	0.300503
speczip_assocl2_2	0.172418	1.724184	0.021384	0.000078	0.271750
speczip_assocl2_4	0.172283	1.722835	0.021387	0.000078	0.265391
speczip_assocl2_8	0.172188	1.721877	0.021386	0.000078	0.262895
speczip_linesize_32	0.183130	1.831298	0.023841	0.000089	0.399612
speczip_linesize_64	0.172418	1.724184	0.021384	0.000078	0.271750
speczip_linesize_128	0.172860	1.728599	0.021853	0.000063	0.195893
